annual_mean,year,SD
134.3,1989,0.0
121.7,1990,0.0
114.1,1991,0.0
135.7,1992,0.0
133.9,1993,0.0
135.7,1994,0.0
146.5,1995,0.0
139.3,1996,0.0
133.2,1997,0.0
133.2,1998,0.0
126.0,1999,0.0
111.0,2000,0.0
110.0,2001,0.0
165.0,2002,0.0
154.0,2003,0.0
135.0,2004,0.0
154.0,2005,0.0
171.0,2006,0.0
111.1,2007,0.0
138.6,2008,0.0
91.5,2009,0.0
144.1,2010,0.0
140.1,2011,0.0
140.3,2012,0.0
125.3,2013,0.0
117.2,2014,0.0
125.3,2015,0.0
133.3,2016,0.0
117.2,2017,0.0
120.0,2018,0.0
105.0,2019,0.0
93.0,2020,0.0
106.0,2021,0.0
99.7,2022,0.0
103.3,2023,0.0
101.6,2024,0.0
100.97950911011598,2025,16.77027302983707
99.46978846157457,2026,18.841214886033608
98.58201123305365,2027,22.4634531068611
97.43318941009854,2028,24.56415632995019
95.53168933938449,2029,27.791309375013338
94.62160829144312,2030,29.916117131149775
93.5713262921771,2031,32.205790235311156
92.70749238306557,2032,34.78437817144194
92.18535307139803,2033,37.24371821365863
91.37393306608101,2034,38.81837164166883
