year,annual_mean_obs,yhat,yhat_lower,yhat_upper
1989,134.3,139.73169844017252,118.3882859128218,160.6586540686363
1990,121.7,141.04031784516116,120.35001020266303,163.2381552822897
1991,114.1,140.86575931389382,119.27503365373026,163.19990966750004
1992,135.7,139.2074891155721,116.02080117791135,160.2096739167647
1993,133.9,136.3883870318833,115.8590360782292,156.99526441294114
1994,135.7,137.69700643112412,115.06282521008646,159.9803066502717
1995,146.5,137.52244788120993,115.13713006086326,159.58167014477445
1996,139.3,135.86417766942347,115.32935668644406,157.00329603460438
1997,133.2,133.0450755772968,111.97817749045012,155.93622816458395
1998,133.2,134.35369497681233,112.77127146554565,156.34067694884422
1999,126.0,134.1791364266046,112.92504981003208,154.53214227720105
2000,111.0,132.52086620467497,111.91000617773275,154.25868820261937
2001,110.0,129.7017641018717,107.22943384137928,151.00308064704592
2002,165.0,131.01038347754354,108.19398315855543,152.58699534850598
2003,154.0,130.8358249106295,109.76692363093555,152.17314448853367
2004,135.0,129.17725357422714,108.38499002595378,150.19043105258635
2005,154.0,126.35768589091661,104.34559679401872,147.51360198088878
2006,171.0,127.66582696739543,105.08999051763274,149.15484559931085
2007,111.1,127.49078895274688,105.41805625626127,148.86216720461854
2008,138.6,125.83203911292571,103.02704867447896,147.7184420230828
2009,91.5,123.01215879827008,100.82897788278207,143.95447503075073
2010,144.1,124.3200020980946,103.18830622175064,145.4422358657821
2011,140.1,124.1444402270183,102.56811973954204,145.83775942244134
2012,140.3,122.48516668288948,101.25162445088,144.3654673797845
2013,125.3,119.66448927897984,99.38512685674297,141.2243305431447
2014,117.2,120.97141372070546,99.0915149813711,141.9138634911021
2015,125.3,120.79516022305059,99.55123308406223,141.54275559846386
2016,133.3,119.13519505714898,97.33879381329118,140.40438354607815
2017,117.2,116.31439336292027,95.26169158805413,138.4722351008138
2018,120.0,117.62131780060838,94.92866749445301,139.29426942565257
2019,105.0,117.44506429506544,93.1803101171572,139.3286576603491
2020,93.0,115.78509912490222,93.14348135089044,137.12489425978964
2021,106.0,112.96429743068524,91.33292569777304,133.49951991645676
2022,99.7,114.27122186837666,92.9200875293801,137.41766974572658
2023,103.3,114.09496836282707,91.96678098832639,134.95932351806624
2024,101.6,112.4350031926712,91.1705858791996,133.59756251030703
2025,,109.61420149842529,88.35103563902454,131.40325612390316
2026,,110.92112593611954,89.31792970620349,131.1088656132451
2027,,110.74487243057881,89.82270773227063,132.3882761224538
2028,,109.08490726042174,89.29626965936049,130.46323852271655
2029,,106.26410556619919,84.83023102327287,129.35882097234304
2030,,107.57103000386908,85.08861441258784,129.39310600837857
2031,,107.39477649833793,85.11483430024605,130.77608962533313
2032,,105.73481132816036,84.13819259429913,126.38223600178613
2033,,102.91400963393673,81.07446738666481,125.09877967216326
2034,,104.22093407164475,82.46219563115326,125.37640680173527
